year 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85+
1982 31082 31110 31138 31166 31194 31223 31251 31279 30858 30437 30015 29594 29173 28528 27884 27239 26594 25949 24947 23945 22943 21941 20939 20167 19395 18623 17850 17078 16497 15916 15335 14753 14172 13828 13483 13139 12795 12450 11866 11282 10698 10114 9530 9242 8954 8666 8378 8089 7741 7393 7045 6696 6348 6101 5855 5608 5361 5115 4977 4839 4702 4564 4426 4199 3971 3744 3516 3289 3090 2891 2692 2493 2295 2138 1981 1825 1668 1512 1417 1323 1229 1134 1040 946 852 4826
1983 31447 31502 31557 31613 31668 31723 31778 31833 31450 31066 30682 30298 29914 29288 28662 28036 27410 26785 25753 24721 23689 22658 21626 20830 20034 19238 18442 17646 17052 16457 15863 15268 14674 14304 13935 13566 13196 12827 12225 11622 11020 10417 9815 9519 9222 8926 8629 8333 7979 7626 7272 6918 6565 6307 6049 5791 5533 5275 5131 4986 4842 4698 4553 4318 4083 3848 3613 3378 3174 2969 2765 2561 2357 2200 2043 1886 1729 1572 1473 1375 1277 1178 1080 981 883 5011
1984 31810 31892 31975 32057 32139 32222 32304 32387 32040 31694 31348 31001 30655 30048 29441 28834 28227 27620 26559 25498 24436 23375 22313 21493 20674 19854 19034 18215 17607 16999 16391 15784 15176 14782 14387 13993 13598 13204 12583 11962 11342 10721 10101 9796 9491 9186 8881 8576 8217 7858 7499 7140 6781 6512 6243 5974 5705 5435 5284 5133 4982 4831 4680 4437 4195 3952 3709 3466 3257 3048 2838 2629 2419 2262 2104 1947 1790 1632 1530 1427 1324 1222 1119 1017 914 5195
1985 32170 32280 32390 32500 32609 32719 32829 32939 32630 32321 32013 31704 31395 30808 30220 29632 29045 28457 27366 26275 25183 24092 23001 22158 21314 20471 19627 18784 18163 17542 16921 16300 15679 15259 14840 14420 14000 13581 12942 12303 11664 11025 10386 10073 9760 9446 9133 8820 8456 8091 7727 7363 6998 6718 6437 6157 5876 5596 5438 5280 5123 4965 4807 4557 4306 4056 3806 3555 3340 3126 2911 2696 2482 2324 2166 2008 1850 1693 1586 1479 1372 1266 1159 1052 945 5380
1986 32529 32666 32803 32940 33078 33215 33352 33489 33219 32948 32677 32407 32136 31568 30999 30431 29862 29294 28173 27052 25931 24810 23690 22822 21955 21088 20220 19353 18719 18085 17451 16816 16182 15737 15293 14848 14403 13958 13301 12644 11986 11329 10672 10350 10029 9707 9385 9064 8694 8324 7955 7585 7216 6924 6632 6340 6048 5757 5592 5428 5263 5099 4934 4676 4418 4160 3902 3644 3424 3204 2984 2764 2544 2386 2228 2070 1911 1753 1642 1531 1420 1309 1198 1087 977 5566
1987 32885 33050 33215 33380 33544 33709 33874 34039 33806 33574 33341 33109 32876 32327 31778 31230 30681 30132 28981 27830 26680 25529 24379 23487 22596 21705 20814 19923 19276 18628 17981 17333 16686 16216 15746 15276 14806 14336 13660 12985 12309 11633 10958 10628 10298 9968 9637 9307 8933 8558 8183 7808 7433 7130 6827 6524 6220 5917 5746 5575 5404 5233 5062 4796 4530 4264 3998 3732 3507 3282 3057 2832 2607 2448 2289 2131 1972 1814 1699 1583 1468 1353 1238 1123 1008 5751
1988 33240 33433 33625 33818 34010 34202 34395 34587 34393 34199 34005 33811 33616 33087 32558 32029 31499 30970 29790 28609 27429 26248 25068 24153 23238 22323 21408 20494 19833 19172 18512 17851 17190 16695 16200 15704 15209 14713 14019 13326 12632 11938 11244 10905 10567 10228 9890 9551 9171 8791 8411 8031 7651 7336 7022 6707 6393 6078 5900 5722 5545 5367 5189 4915 4642 4368 4095 3821 3591 3360 3130 2899 2669 2510 2351 2192 2033 1874 1755 1636 1516 1397 1278 1159 1039 5937
1989 33594 33814 34034 34254 34474 34694 34914 35135 34979 34823 34668 34512 34356 33847 33337 32828 32318 31809 30599 29388 28178 26968 25758 24819 23881 22942 22003 21064 20391 19717 19043 18369 17695 17174 16654 16133 15612 15091 14379 13667 12954 12242 11530 11183 10836 10489 10142 9795 9410 9025 8639 8254 7869 7543 7217 6891 6565 6239 6054 5870 5685 5501 5316 5035 4754 4472 4191 3910 3674 3438 3203 2967 2731 2572 2413 2254 2094 1935 1812 1688 1565 1441 1318 1194 1071 6123
1990 33945 34193 34441 34689 34937 35185 35433 35681 35564 35447 35330 35213 35096 34607 34117 33627 33138 32648 31408 30168 28928 27688 26448 25486 24523 23561 22598 21636 20949 20262 19574 18887 18200 17654 17108 16562 16015 15469 14739 14008 13277 12547 11816 11461 11105 10750 10395 10039 9649 9258 8868 8477 8087 7749 7412 7075 6737 6400 6209 6017 5826 5635 5443 5154 4865 4576 4288 3999 3758 3517 3276 3035 2794 2634 2475 2315 2156 1996 1868 1741 1613 1485 1357 1230 1102 6309
1991 34468 34686 34904 35123 35341 35560 35778 35997 35876 35755 35635 35514 35393 34929 34465 34000 33536 33071 31975 30879 29783 28688 27592 26577 25563 24549 23535 22521 21827 21134 20440 19747 19053 18514 17975 17436 16896 16357 15583 14809 14035 13261 12487 12090 11694 11297 10901 10504 10094 9683 9273 8862 8452 8091 7730 7369 7009 6648 6455 6262 6070 5877 5684 5382 5080 4779 4477 4175 3935 3694 3454 3214 2974 2790 2605 2421 2237 2053 1919 1785 1651 1517 1383 1250 1116 6491
1992 34987 35176 35365 35553 35742 35931 36119 36308 36184 36060 35935 35811 35687 35248 34809 34369 33930 33491 32541 31590 30639 29688 28737 27671 26605 25539 24473 23407 22707 22008 21308 20608 19908 19376 18844 18312 17780 17248 16430 15613 14795 13977 13159 12721 12284 11846 11408 10970 10539 10109 9678 9248 8817 8433 8049 7665 7281 6897 6702 6508 6314 6119 5925 5610 5296 4981 4666 4352 4112 3873 3633 3394 3154 2945 2737 2528 2319 2110 1970 1830 1690 1550 1409 1269 1129 6674
1993 35505 35664 35822 35981 36140 36298 36457 36616 36488 36360 36232 36104 35976 35563 35149 34736 34322 33909 33104 32299 31494 30690 29885 28767 27649 26531 25413 24295 23589 22883 22177 21471 20765 20240 19716 19191 18666 18141 17280 16418 15557 14695 13834 13354 12875 12395 11916 11437 10986 10536 10085 9634 9184 8776 8369 7961 7553 7145 6950 6754 6558 6362 6167 5839 5511 5184 4856 4528 4290 4051 3812 3574 3335 3101 2868 2634 2401 2167 2021 1875 1728 1582 1435 1289 1142 6857
1994 36020 36149 36277 36406 36534 36663 36792 36920 36789 36657 36525 36394 36262 35874 35487 35099 34711 34324 33666 33008 32350 31692 31034 29864 28694 27524 26354 25184 24472 23760 23048 22336 21624 21106 20589 20071 19554 19036 18131 17226 16320 15415 14510 13989 13468 12946 12425 11904 11434 10963 10492 10022 9551 9120 8689 8257 7826 7395 7197 7000 6803 6606 6409 6068 5728 5387 5046 4706 4468 4230 3992 3754 3516 3258 3000 2741 2483 2225 2072 1919 1766 1614 1461 1308 1156 7040
1995 36533 36631 36730 36828 36926 37025 37123 37221 37086 36951 36815 36680 36545 36183 35821 35460 35098 34736 34226 33716 33206 32696 32186 30964 29741 28519 27297 26075 25356 24638 23920 23202 22484 21974 21464 20954 20444 19934 18985 18035 17086 16137 15187 14624 14061 13498 12936 12373 11882 11391 10900 10410 9919 9464 9009 8554 8099 7644 7446 7247 7048 6850 6651 6298 5944 5590 5237 4883 4646 4409 4172 3935 3698 3415 3132 2848 2565 2282 2123 1964 1805 1646 1487 1328 1169 7223
1996 36473 36631 36790 36949 37107 37266 37424 37583 37409 37234 37060 36885 36711 36318 35926 35533 35141 34748 34212 33676 33140 32604 32068 30961 29855 28748 27642 26535 25818 25101 24385 23668 22951 22434 21917 21400 20883 20366 19445 18524 17602 16681 15760 15154 14548 13942 13336 12729 12237 11745 11253 10761 10269 9794 9319 8844 8369 7894 7685 7476 7267 7058 6849 6492 6134 5776 5419 5061 4814 4566 4319 4072 3825 3545 3265 2985 2706 2426 2246 2066 1886 1706 1526 1346 1166 7497
1997 36409 36628 36848 37067 37286 37506 37725 37944 37731 37517 37303 37089 36875 36452 36028 35604 35181 34757 34195 33633 33071 32509 31947 30957 29967 28976 27986 26996 26281 25566 24850 24135 23419 22895 22371 21847 21323 20799 19906 19013 18121 17228 16336 15686 15036 14387 13737 13087 12594 12101 11607 11114 10621 10126 9631 9136 8641 8146 7926 7707 7487 7267 7048 6686 6325 5963 5601 5239 4982 4724 4466 4209 3951 3675 3399 3123 2847 2571 2370 2169 1968 1766 1565 1364 1163 7773
1998 36342 36622 36902 37183 37463 37744 38024 38305 38051 37798 37545 37291 37038 36583 36128 35673 35218 34763 34175 33587 32998 32410 31822 30949 30076 29204 28331 27458 26744 26031 25317 24603 23889 23358 22826 22295 21764 21232 20369 19505 18641 17777 16913 16220 15527 14833 14140 13447 12952 12457 11963 11468 10974 10459 9943 9428 8913 8398 8168 7938 7708 7477 7247 6882 6516 6150 5784 5418 5150 4882 4614 4346 4078 3806 3534 3262 2989 2717 2494 2272 2050 1827 1605 1382 1160 8050
1999 36271 36613 36955 37297 37639 37980 38322 38664 38371 38078 37785 37492 37198 36712 36226 35739 35253 34766 34152 33537 32923 32308 31694 30939 30185 29430 28676 27921 27209 26496 25784 25072 24360 23821 23283 22744 22206 21667 20833 19998 19163 18328 17493 16756 16019 15281 14544 13807 13311 12816 12320 11824 11328 10793 10257 9722 9186 8651 8410 8169 7929 7688 7448 7078 6708 6338 5968 5598 5320 5041 4763 4485 4206 3938 3669 3401 3132 2863 2620 2376 2132 1888 1644 1400 1156 8328
2000 36197 36601 37005 37408 37812 38216 38620 39023 38690 38357 38024 37690 37357 36839 36321 35803 35285 34767 34126 33485 32844 32204 31563 30927 30291 29656 29020 28385 27674 26963 26253 25542 24831 24286 23740 23195 22649 22103 21298 20492 19686 18881 18075 17294 16513 15731 14950 14169 13672 13175 12678 12181 11684 11128 10572 10016 9461 8905 8653 8402 8151 7900 7648 7274 6900 6527 6153 5779 5490 5201 4912 4623 4334 4070 3805 3540 3275 3011 2745 2480 2214 1949 1684 1418 1153 8607
2001 36268 36640 37011 37383 37754 38126 38497 38869 38662 38455 38247 38040 37833 37297 36761 36224 35688 35152 34474 33796 33118 32440 31762 31128 30495 29861 29227 28593 27996 27399 26801 26204 25607 25051 24496 23940 23385 22829 22025 21221 20417 19614 18810 18038 17267 16496 15725 14954 14423 13892 13361 12831 12300 11715 11129 10544 9959 9374 9102 8829 8557 8285 8013 7618 7223 6828 6433 6038 5740 5442 5144 4846 4548 4272 3995 3718 3442 3165 2896 2627 2358 2089 1820 1551 1282 8897
2002 36329 36667 37006 37344 37683 38021 38360 38699 38620 38541 38463 38384 38305 37750 37195 36641 36086 35531 34816 34101 33385 32670 31955 31323 30691 30060 29428 28796 28314 27833 27351 26869 26387 25822 25256 24691 24125 23560 22758 21956 21154 20352 19551 18790 18029 17269 16508 15748 15183 14618 14052 13487 12922 12307 11692 11077 10463 9848 9554 9261 8967 8674 8381 7964 7548 7132 6715 6299 5992 5685 5378 5071 4764 4476 4187 3899 3610 3322 3049 2776 2503 2230 1958 1685 1412 9190
2003 36379 36684 36989 37294 37599 37904 38209 38514 38566 38617 38669 38721 38773 38200 37626 37053 36479 35906 35153 34400 33647 32894 32141 31511 30882 30252 29623 28993 28629 28265 27901 27537 27173 26597 26022 25446 24871 24295 23496 22696 21897 21097 20298 19548 18799 18049 17299 16550 15950 15350 14751 14151 13551 12906 12261 11616 10971 10327 10012 9697 9382 9067 8752 8314 7876 7439 7001 6563 6247 5931 5615 5298 4982 4682 4381 4081 3780 3479 3203 2927 2650 2374 2097 1821 1544 9485
2004 36419 36690 36960 37231 37502 37773 38044 38314 38499 38683 38868 39052 39237 38645 38052 37460 36868 36276 35485 34693 33902 33111 32320 31693 31066 30439 29812 29185 28941 28696 28452 28207 27963 27377 26792 26206 25621 25035 24238 23442 22645 21848 21051 20313 19575 18837 18098 17360 16725 16091 15456 14821 14186 13511 12836 12160 11485 10810 10473 10137 9800 9464 9127 8668 8208 7748 7289 6829 6504 6178 5853 5528 5203 4890 4577 4264 3952 3639 3359 3079 2799 2519 2239 1959 1678 9782
2005 36449 36685 36921 37157 37393 37629 37865 38101 38420 38739 39059 39378 39697 39086 38475 37864 37252 36641 35812 34982 34152 33323 32493 31869 31245 30620 29996 29371 29249 29126 29003 28880 28757 28162 27567 26971 26376 25780 24986 24192 23398 22604 21810 21084 20357 19631 18905 18178 17508 16838 16168 15497 14827 14121 13415 12710 12004 11298 10940 10581 10223 9864 9505 9024 8542 8061 7579 7097 6763 6428 6094 5759 5425 5100 4775 4450 4125 3800 3516 3232 2949 2665 2381 2098 1814 10081
2006 36432 36695 36957 37220 37482 37745 38008 38270 38509 38747 38985 39224 39462 38989 38515 38041 37567 37094 36270 35447 34624 33800 32977 32321 31665 31009 30354 29698 29554 29411 29268 29124 28981 28481 27982 27483 26983 26484 25668 24851 24034 23218 22401 21667 20934 20200 19467 18733 18075 17418 16760 16102 15444 14714 13985 13255 12525 11795 11397 11000 10602 10205 9807 9309 8811 8312 7814 7316 6986 6656 6326 5996 5666 5317 4968 4618 4269 3920 3630 3340 3050 2760 2470 2180 1890 10554
2007 36422 36711 36999 37288 37577 37866 38155 38444 38602 38761 38919 39078 39237 38899 38561 38223 37885 37547 36730 35912 35095 34278 33460 32773 32086 31399 30712 30025 29862 29698 29534 29370 29206 28802 28398 27993 27589 27185 26346 25506 24667 23828 22989 22248 21507 20767 20026 19285 18639 17994 17348 16703 16057 15303 14550 13796 13042 12288 11852 11416 10980 10544 10108 9593 9078 8563 8048 7533 7207 6882 6556 6231 5905 5532 5159 4786 4413 4040 3744 3447 3151 2855 2558 2262 1966 11023
2008 36417 36732 37047 37362 37677 37992 38307 38622 38701 38781 38860 38940 39019 38816 38612 38409 38205 38001 37190 36379 35567 34756 33944 33226 32508 31790 31072 30354 30170 29986 29802 29618 29434 29123 28813 28503 28192 27882 27020 26159 25297 24436 23574 22826 22078 21330 20582 19834 19200 18567 17933 17300 16666 15889 15111 14333 13555 12778 12303 11829 11355 10880 10406 9875 9343 8812 8280 7749 7428 7107 6785 6464 6143 5746 5349 4953 4556 4159 3856 3554 3251 2949 2646 2343 2041 11488
2009 36418 36758 37099 37440 37781 38122 38462 38803 38805 38806 38808 38809 38810 38740 38669 38598 38528 38457 37651 36845 36039 35234 34428 33679 32930 32182 31433 30684 30480 30276 30072 29868 29663 29446 29229 29011 28794 28576 27692 26808 25924 25041 24157 23401 22646 21891 21135 20380 19758 19137 18515 17893 17271 16470 15668 14867 14065 13264 12752 12240 11727 11215 10703 10155 9607 9060 8512 7964 7647 7330 7013 6696 6379 5959 5538 5118 4698 4278 3969 3660 3351 3042 2733 2424 2115 11951
2010 36423 36790 37156 37523 37889 38256 38622 38989 38913 38837 38761 38685 38609 38670 38731 38792 38852 38913 38113 37313 36512 35712 34912 34132 33353 32574 31794 31015 30791 30567 30343 30119 29895 29769 29644 29518 29393 29267 28361 27455 26549 25643 24737 23974 23212 22449 21686 20924 20313 19703 19093 18483 17873 17048 16223 15398 14573 13747 13198 12648 12098 11548 10999 10434 9870 9306 8742 8178 7865 7552 7239 6926 6613 6170 5726 5283 4839 4396 4080 3765 3450 3135 2820 2504 2189 12410
2011 36434 36826 37218 37610 38002 38394 38786 39178 39025 38873 38720 38567 38415 38606 38797 38988 39179 39370 38575 37780 36985 36190 35395 34586 33776 32966 32157 31347 31103 30860 30616 30372 30128 30094 30059 30025 29990 29956 29028 28099 27171 26243 25315 24545 23775 23005 22235 21465 20866 20267 19668 19070 18471 17622 16774 15925 15077 14228 13641 13054 12467 11880 11293 10712 10132 9552 8971 8391 8082 7773 7464 7156 6847 6380 5913 5446 4980 4513 4191 3870 3549 3227 2906 2584 2263 12867
2012 36450 36867 37284 37701 38118 38536 38953 39370 39142 38913 38685 38456 38228 38548 38868 39188 39508 39828 39038 38249 37459 36669 35879 35039 34200 33360 32520 31680 31417 31153 30890 30627 30364 30419 30475 30531 30586 30642 29692 28741 27791 26841 25890 25113 24336 23558 22781 22003 21416 20828 20241 19653 19066 18194 17322 16450 15578 14706 14082 13458 12834 12210 11586 10989 10393 9796 9200 8603 8298 7993 7688 7383 7079 6589 6099 5609 5120 4630 4302 3974 3647 3319 2991 2664 2336 13321
2013 36469 36912 37354 37796 38239 38681 39123 39565 39262 38958 38654 38350 38047 38495 38943 39391 39839 40287 39502 38717 37933 37148 36363 35493 34623 33754 32884 32014 31731 31448 31166 30883 30600 30745 30890 31035 31180 31325 30353 29381 28409 27436 26464 25679 24894 24110 23325 22540 21963 21387 20810 20234 19657 18762 17867 16972 16077 15181 14521 13860 13199 12538 11877 11265 10652 10039 9427 8814 8513 8212 7911 7610 7309 6797 6284 5771 5259 4746 4412 4078 3744 3411 3077 2743 2409 13773
