pid hid age sex hh_serial pernum workid
344 68 66 1 2747959000 1 437471
345 68 65 2 2747959000 2 68
346 69 38 1 2747609000 1 400418
347 69 30 2 2747609000 2 69
348 69 8 2 2747609000 3 402346
349 69 4 1 2747609000 4 69
350 70 85 1 2748356000 1 70
351 70 84 2 2748356000 2 70
352 71 34 1 2747638000 1 442640
353 71 33 2 2747638000 2 71
354 71 14 1 2747638000 3 402935
355 71 13 2 2747638000 4 402935
356 71 7 2 2747638000 5 402935
357 71 4 1 2747638000 6 71
358 72 67 1 2747739000 1 418406
359 72 60 2 2747739000 2 72
360 72 34 1 2747739000 3 72
361 72 26 2 2747739000 4 72
362 72 8 2 2747739000 5 397659
363 72 3 2 2747739000 6 72
364 72 1 1 2747739000 7 72
365 73 60 1 2747591000 1 468684
366 74 46 1 2748170000 1 467962
367 74 42 2 2748170000 2 438157
368 74 15 1 2748170000 3 402935
369 74 10 1 2748170000 4 402935
370 75 60 1 2748237000 1 404998
371 75 57 2 2748237000 2 75
372 75 30 1 2748237000 3 405112
373 75 24 1 2748237000 4 75
374 76 73 1 2747824000 1 76
375 76 45 1 2747824000 2 437708
376 76 30 1 2747824000 3 436510
377 76 35 2 2747824000 4 76
378 76 5 2 2747824000 5 402935
379 76 3 1 2747824000 6 76
380 76 0 1 2747824000 7 76
381 77 64 1 2747544000 1 438445
382 77 60 2 2747544000 2 77
383 77 39 2 2747544000 3 442734
384 77 30 1 2747544000 4 442809
385 77 26 2 2747544000 5 400401
386 78 21 1 2748204000 1 400528
387 78 18 2 2748204000 2 78
388 78 1 1 2748204000 3 78
389 79 39 2 2747990000 1 79
390 79 19 1 2747990000 2 442831
391 79 16 2 2747990000 3 402935
392 79 8 2 2747990000 4 402935
393 79 6 2 2747990000 5 402935
394 80 70 1 2747896000 1 80
395 80 40 2 2747896000 2 80
396 80 37 1 2747896000 3 468362
397 80 27 1 2747896000 4 80
398 80 20 1 2747896000 5 80
399 81 27 1 2748294000 1 396799
400 81 18 2 2748294000 2 81
401 82 56 2 2748008000 1 400683
402 82 58 1 2748008000 2 468680
403 82 20 1 2748008000 3 386104
404 82 17 1 2748008000 4 386104
405 82 15 2 2748008000 5 386104
406 82 12 1 2748008000 6 386104
407 82 28 2 2748008000 7 402403
408 82 27 2 2748008000 8 436217
409 82 22 2 2748008000 9 399589
410 83 58 1 2748296000 1 404483
411 83 53 2 2748296000 2 83
412 83 15 2 2748296000 3 83
413 84 67 1 2748331000 1 402346
414 84 55 2 2748331000 2 84
415 84 26 1 2748331000 3 404640
416 84 23 1 2748331000 4 385610
417 84 18 2 2748331000 5 437585
418 84 16 2 2748331000 6 84
419 84 12 1 2748331000 7 468399
420 85 58 2 2748006000 1 85
421 85 44 1 2748006000 2 404104
422 86 35 1 2748183000 1 436303
423 86 33 2 2748183000 2 86
424 86 10 1 2748183000 3 402346
425 86 9 1 2748183000 4 402346
426 87 25 1 2748043000 1 400401
427 87 21 2 2748043000 2 87
428 87 0 2 2748043000 3 87
429 88 35 1 2747941000 1 436379
430 88 32 2 2747941000 2 88
431 88 9 1 2747941000 3 402935
432 88 1 1 2747941000 4 88
433 89 44 1 2747551000 1 436423
434 89 38 2 2747551000 2 89
435 89 20 1 2747551000 3 438415
436 89 15 1 2747551000 4 400368
437 89 9 1 2747551000 5 400368
438 89 6 1 2747551000 6 400368
439 90 38 1 2747831000 1 397659
440 90 31 2 2747831000 2 438439
441 90 9 2 2747831000 3 402935
442 90 8 2 2747831000 4 402935
443 90 0 1 2747831000 5 90
444 91 50 1 2747802000 1 437525
445 91 43 2 2747802000 2 91
446 91 24 2 2747802000 3 91
447 91 22 2 2747802000 4 91
448 91 19 2 2747802000 5 438439
449 91 18 1 2747802000 6 386104
450 91 16 1 2747802000 7 91
451 91 23 1 2747802000 8 418406
452 91 25 1 2747802000 9 91
453 91 4 1 2747802000 10 91
454 91 3 1 2747802000 11 91
455 92 48 1 2748040000 1 468131
456 92 47 2 2748040000 2 92
457 92 19 1 2748040000 3 468423
458 92 18 2 2748040000 4 468423
459 92 24 2 2748040000 5 395324
460 92 24 1 2748040000 6 436441
461 93 24 1 2748157000 1 468668
462 93 18 2 2748157000 2 93
463 93 1 2 2748157000 3 93
464 94 26 1 2747792000 1 438415
465 94 21 2 2747792000 2 94
466 94 5 2 2747792000 3 397659
467 94 2 2 2747792000 4 94
468 95 67 1 2747739000 1 457792
469 95 60 2 2747739000 2 95
470 95 34 1 2747739000 3 95
471 95 26 2 2747739000 4 95
472 95 8 2 2747739000 5 446628
473 95 3 2 2747739000 6 95
474 95 1 1 2747739000 7 95
475 96 48 1 2748201000 1 418406
476 96 47 2 2748201000 2 96
477 96 27 2 2748201000 3 96
478 96 20 1 2748201000 4 402346
479 96 10 1 2748201000 5 402346
480 96 67 1 2748201000 6 96
481 97 56 1 2747861000 1 418406
482 97 46 2 2747861000 2 97
483 97 23 1 2747861000 3 468440
484 97 11 2 2747861000 4 384339
485 98 55 1 2748001000 1 437938
486 98 56 2 2748001000 2 98
487 98 26 1 2748001000 3 437472
488 98 23 2 2748001000 4 402935
489 99 43 1 2747564000 1 437375
490 99 38 2 2747564000 2 468020
491 99 17 2 2747564000 3 99
492 99 7 1 2747564000 4 402935
493 100 26 1 2747729000 1 390554
494 100 28 2 2747729000 2 100
495 100 4 1 2747729000 3 100
496 100 5 2 2747729000 4 404104
497 101 50 1 2748064000 1 101
498 101 37 2 2748064000 2 438381
499 101 18 2 2748064000 3 437740
500 101 10 1 2748064000 4 402451
501 102 48 1 2747726000 1 399362
502 102 44 2 2747726000 2 102
503 102 15 1 2747726000 3 402346
504 102 12 2 2747726000 4 402346
505 102 9 1 2747726000 5 402346
506 102 6 2 2747726000 6 402346
507 103 43 2 2748103000 1 400401
508 103 24 1 2748103000 2 436069
509 104 63 1 2748246000 1 437499
510 104 57 2 2748246000 2 104
511 104 12 1 2748246000 3 402935
512 105 67 1 2748323000 1 105
513 105 64 2 2748323000 2 105
514 106 30 1 2747554000 1 442535
515 106 26 2 2747554000 2 436443
516 106 3 1 2747554000 3 106
517 107 75 1 2748060000 1 395324
518 107 73 2 2748060000 2 107
519 107 34 2 2748060000 3 400424
520 107 35 1 2748060000 4 400421
521 107 5 1 2748060000 5 384339
522 107 8 2 2748060000 6 384339
523 108 26 1 2747729000 1 396668
524 108 28 2 2747729000 2 108
525 108 4 1 2747729000 3 108
526 108 5 2 2747729000 4 418406
527 109 63 1 2747952000 1 402346
528 109 62 1 2747952000 2 401560
529 109 45 1 2747952000 3 402379
530 110 34 1 2748316000 1 404104
531 110 33 2 2748316000 2 437392
532 110 11 2 2748316000 3 402346
533 110 1 2 2748316000 4 110
534 111 38 1 2747763000 1 400418
535 111 37 2 2747763000 2 395324
536 111 18 1 2747763000 3 468312
537 111 16 2 2747763000 4 468312
538 111 14 2 2747763000 5 468312
539 111 18 2 2747763000 6 111
540 111 0 2 2747763000 7 111
541 112 62 2 2747746000 1 112
542 112 88 2 2747746000 2 112
543 113 46 2 2748220000 1 442827
544 113 45 1 2748220000 2 442829
545 113 24 2 2748220000 3 404030
546 113 16 2 2748220000 4 386104
547 114 45 1 2748310000 1 437563
548 114 40 2 2748310000 2 438058
549 114 20 2 2748310000 3 402935
550 114 15 2 2748310000 4 402935
551 114 12 1 2748310000 5 402935
552 115 35 1 2747741000 1 428319
553 115 35 2 2747741000 2 115
554 115 16 1 2747741000 3 115
555 115 14 2 2747741000 4 384331
556 115 9 1 2747741000 5 384331
557 115 95 1 2747741000 6 115
558 116 66 1 2747747000 1 437469
559 116 52 2 2747747000 2 116
560 116 22 2 2747747000 3 402935
561 116 16 1 2747747000 4 437413
562 117 39 1 2748292000 1 379974
563 117 40 2 2748292000 2 117
564 117 20 1 2748292000 3 400130
565 117 17 2 2748292000 4 117
566 117 10 1 2748292000 5 400418
567 117 11 1 2748292000 6 400418
568 117 15 1 2748292000 7 399362
569 117 3 2 2748292000 8 117
570 117 20 2 2748292000 9 117
571 118 35 1 2747980000 1 395324
572 118 34 2 2747980000 2 118
573 118 16 1 2747980000 3 390554
574 118 13 1 2747980000 4 390554
575 118 10 1 2747980000 5 390554
576 119 57 1 2747642000 1 437405
577 119 56 2 2747642000 2 119
578 119 31 2 2747642000 3 404133
579 119 22 1 2747642000 4 437472
580 120 39 1 2747728000 1 404104
581 120 44 2 2747728000 2 120
582 120 19 1 2747728000 3 427263
583 120 13 1 2747728000 4 404133
584 120 17 2 2747728000 5 120
585 120 10 1 2747728000 6 404133
586 120 1 1 2747728000 7 120
587 121 65 1 2747600000 1 427945
588 121 64 2 2747600000 2 121
589 121 14 2 2747600000 3 384331
590 121 12 2 2747600000 4 384331
591 122 61 1 2747837000 1 397093
592 122 55 2 2747837000 2 122
593 122 34 2 2747837000 3 396186
594 122 18 2 2747837000 4 404104
595 122 11 2 2747837000 5 404104
596 122 6 2 2747837000 6 404104
597 123 24 1 2747724000 1 436059
598 123 22 2 2747724000 2 123
599 123 6 1 2747724000 3 384331
600 123 3 2 2747724000 4 123
601 123 0 2 2747724000 5 123
602 124 28 1 2747641000 1 442749
603 124 22 2 2747641000 2 124
604 124 3 1 2747641000 3 124
605 124 0 1 2747641000 4 124
606 125 32 1 2748359000 1 400368
607 125 32 2 2748359000 2 125
608 125 3 1 2748359000 3 125
609 126 60 1 2748028000 1 428496
610 126 56 2 2748028000 2 126
611 127 38 1 2748019000 1 400368
612 127 35 2 2748019000 2 391187
613 127 17 2 2748019000 3 404133
614 127 12 2 2748019000 4 404133
615 127 8 1 2748019000 5 404133
616 127 6 2 2748019000 6 404133
617 128 66 1 2747683000 1 427152
618 128 68 2 2747683000 2 128
619 128 42 1 2747683000 3 427574
620 128 26 1 2747683000 4 428346
621 129 50 1 2748000000 1 129
622 129 48 2 2748000000 2 129
623 129 17 2 2748000000 3 418426
624 129 15 2 2748000000 4 129
625 129 15 2 2748000000 5 400368
626 129 7 2 2748000000 6 400368
627 130 69 1 2747832000 1 438445
628 130 62 2 2747832000 2 130
629 130 39 1 2747832000 3 468632
630 130 21 2 2747832000 4 130
631 130 23 1 2747832000 5 436549
632 130 1 1 2747832000 6 130
633 131 28 1 2748139000 1 468072
634 131 24 2 2748139000 2 131
635 131 1 2 2748139000 3 131
636 132 26 1 2747856000 1 437797
637 132 26 2 2747856000 2 132
638 132 3 2 2747856000 3 132
639 133 46 1 2747597000 1 437752
640 133 44 2 2747597000 2 133
641 133 21 2 2747597000 3 400401
642 133 16 2 2747597000 4 400401
643 133 0 2 2747597000 5 133
644 134 34 1 2748063000 1 437856
645 134 31 2 2748063000 2 134
646 134 14 1 2748063000 3 402935
647 134 0 2 2748063000 4 134
648 135 51 1 2747613000 1 418406
649 135 46 2 2747613000 2 135
650 135 17 1 2747613000 3 436053
651 135 15 1 2747613000 4 401571
652 135 13 2 2747613000 5 402346
653 135 10 1 2747613000 6 402346
654 135 19 2 2747613000 7 442837
655 135 5 2 2747613000 8 402346
656 135 3 1 2747613000 9 135
657 136 40 1 2748055000 1 388703
658 136 40 2 2748055000 2 393662
659 136 4 2 2748055000 3 136
660 136 8 1 2748055000 4 402346
661 137 67 1 2747739000 1 402346
662 137 60 2 2747739000 2 137
663 137 34 1 2747739000 3 137
664 137 26 2 2747739000 4 137
665 137 8 2 2747739000 5 402346
666 137 3 2 2747739000 6 137
667 137 1 1 2747739000 7 137
668 138 81 1 2747920000 1 468386
669 138 72 2 2747920000 2 138
670 139 44 1 2747858000 1 468364
671 139 49 2 2747858000 2 139
672 139 17 2 2747858000 3 404104
673 139 14 1 2747858000 4 404104
674 140 49 1 2747690000 1 400418
675 140 42 2 2747690000 2 394455
676 140 19 1 2747690000 3 140
677 140 17 1 2747690000 4 402935
678 140 18 1 2747690000 5 402935
679 141 34 1 2747902000 1 436171
680 141 29 2 2747902000 2 141
681 141 9 2 2747902000 3 468423
682 141 8 2 2747902000 4 468423
683 141 6 1 2747902000 5 468423
684 142 35 1 2748306000 1 404483
685 142 36 2 2748306000 2 142
686 142 11 2 2748306000 3 402935
687 142 0 1 2748306000 4 142
688 142 59 1 2748306000 5 437567
689 143 54 1 2748197000 1 402935
690 143 52 2 2748197000 2 143
691 143 29 1 2748197000 3 437582
692 143 28 2 2748197000 4 143
693 143 8 1 2748197000 5 468399
694 143 4 2 2748197000 6 143
695 143 0 2 2748197000 7 143
696 143 28 1 2748197000 8 418406
697 143 5 1 2748197000 9 468399
698 143 3 2 2748197000 10 143
699 143 22 2 2748197000 11 143
700 143 18 2 2748197000 12 143
701 143 12 2 2748197000 13 143
702 143 8 1 2748197000 14 468399
703 143 89 1 2748197000 15 143
704 144 35 1 2747760000 1 438269
705 144 35 2 2747760000 2 437470
706 144 13 1 2747760000 3 402935
707 144 6 1 2747760000 4 402935
708 144 2 2 2747760000 5 144
709 145 48 1 2748130000 1 400775
710 145 47 2 2748130000 2 145
711 145 19 1 2748130000 3 402361
712 145 13 1 2748130000 4 400368
713 146 68 1 2747584000 1 146
714 146 61 2 2747584000 2 146
715 146 40 1 2747584000 3 391187
716 146 34 1 2747584000 4 436451
717 146 32 1 2747584000 5 438344
718 146 38 2 2747584000 6 146
719 146 13 1 2747584000 7 402935
720 146 11 2 2747584000 8 402935
721 146 10 1 2747584000 9 402935
722 146 19 2 2747584000 10 146
723 146 2 1 2747584000 11 146
724 147 69 1 2747832000 1 398722
725 147 62 2 2747832000 2 147
726 147 39 1 2747832000 3 404089
727 147 21 2 2747832000 4 147
728 147 23 1 2747832000 5 393037
729 147 1 1 2747832000 6 147
730 148 43 1 2747626000 1 437472
731 148 51 2 2747626000 2 148
732 148 24 1 2747626000 3 402935
733 149 50 1 2747740000 1 404035
734 149 46 2 2747740000 2 397103
735 149 22 1 2747740000 3 428639
736 149 19 1 2747740000 4 418406
737 149 17 2 2747740000 5 149
738 150 59 1 2747840000 1 386104
739 150 35 2 2747840000 2 150
740 150 9 2 2747840000 3 402935
741 151 40 1 2748036000 1 402935
742 151 38 2 2748036000 2 151
743 151 13 1 2748036000 3 402935
744 151 7 2 2748036000 4 402935
745 151 3 1 2748036000 5 151
746 152 37 1 2748262000 1 399362
747 152 41 2 2748262000 2 400662
748 152 13 1 2748262000 3 400368
749 152 13 2 2748262000 4 400368
750 152 7 2 2748262000 5 400368
751 153 64 2 2748255000 1 153
752 153 24 1 2748255000 2 436535
753 153 35 1 2748255000 3 153
754 153 31 2 2748255000 4 153
755 153 9 1 2748255000 5 402346
756 153 1 1 2748255000 6 153
757 154 57 1 2747625000 1 438445
758 154 51 2 2747625000 2 154
759 154 17 2 2747625000 3 154
760 154 33 1 2747625000 4 402346
761 155 51 1 2748058000 1 437950
762 155 15 2 2748058000 2 402935
763 156 39 1 2747569000 1 402534
764 156 31 2 2747569000 2 400418
765 156 10 2 2747569000 3 384331
766 156 1 1 2747569000 4 156
767 157 38 1 2747614000 1 404104
768 157 38 2 2747614000 2 157
769 157 17 1 2747614000 3 402451
770 157 16 1 2747614000 4 468282
771 157 11 2 2747614000 5 402935
772 158 39 1 2747711000 1 468078
773 158 33 2 2747711000 2 158
774 158 15 1 2747711000 3 158
775 158 13 1 2747711000 4 402935
776 158 11 1 2747711000 5 402935
777 158 2 2 2747711000 6 158
778 159 33 1 2747646000 1 468683
779 159 31 2 2747646000 2 159
780 159 14 2 2747646000 3 402935
781 159 7 2 2747646000 4 402935
782 160 46 1 2748094000 1 468091
783 160 20 2 2748094000 2 160
784 160 17 1 2748094000 3 399362
785 160 2 2 2748094000 4 160
786 161 57 1 2747866000 1 418431
787 161 54 2 2747866000 2 161
788 161 19 1 2747866000 3 404104
789 162 25 1 2748332000 1 438382
790 162 24 2 2748332000 2 162
791 162 8 1 2748332000 3 468423
792 162 3 2 2748332000 4 162
